ISO 3166-1 numeric code,Location,Year,Sex,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
96,         Brunei,1950,Both,6.673,5.707,5.101,4.578,4.101,3.666,3.269,2.906,2.567,2.247,1.931,1.613,1.294,0.973,0.665,0.357,0,0,0,0,0
96,         Brunei,1950,Female,3.181,2.737,2.451,2.201,1.971,1.765,1.576,1.403,1.245,1.097,0.953,0.809,0.66,0.51,0.356,0.196,0,0,0,0,0
96,         Brunei,1950,Male,3.491,2.969,2.65,2.376,2.129,1.902,1.695,1.504,1.325,1.15,0.979,0.805,0.635,0.464,0.308,0.162,0,0,0,0,0
96,         Brunei,1953,Both,10.396,6.083,5.544,5.121,4.822,4.428,3.881,3.368,2.888,2.486,2.122,1.782,1.459,1.082,0.742,0.432,0,0,0,0,0
96,         Brunei,1953,Female,5.068,2.904,2.669,2.458,2.315,2.122,1.851,1.598,1.375,1.201,1.018,0.868,0.734,0.544,0.392,0.254,0,0,0,0,0
96,         Brunei,1953,Male,5.327,3.178,2.876,2.663,2.508,2.308,2.028,1.771,1.514,1.286,1.102,0.914,0.725,0.538,0.35,0.178,0,0,0,0,0
96,         Brunei,1956,Both,14.075,7.367,5.836,5.529,5.394,5.192,4.612,3.945,3.336,2.779,2.365,1.944,1.62,1.219,0.827,0.503,0,0,0,0,0
96,         Brunei,1956,Female,6.915,3.517,2.808,2.665,2.597,2.488,2.193,1.871,1.564,1.331,1.132,0.928,0.803,0.62,0.412,0.292,0,0,0,0,0
96,         Brunei,1956,Male,7.16,3.849,3.029,2.865,2.799,2.706,2.417,2.074,1.772,1.449,1.232,1.017,0.817,0.598,0.416,0.213,0,0,0,0,0
96,         Brunei,1959,Both,15.675,11.304,6.249,5.953,5.923,5.973,5.436,4.638,3.831,3.236,2.606,2.214,1.741,1.351,0.887,0.57,0,0,0,0,0
96,         Brunei,1959,Female,7.679,5.508,2.943,2.884,2.862,2.882,2.574,2.186,1.817,1.524,1.256,1.062,0.866,0.684,0.481,0.287,0,0,0,0,0
96,         Brunei,1959,Male,7.995,5.796,3.307,3.068,3.062,3.092,2.862,2.451,2.013,1.71,1.351,1.153,0.878,0.668,0.406,0.283,0,0,0,0,0
96,         Brunei,1962,Both,16.687,14.587,8.893,6.163,6.317,6.501,6.181,5.352,4.425,3.668,2.967,2.403,1.919,1.457,0.998,0.614,0,0,0,0,0
96,         Brunei,1962,Female,8.137,7.168,4.273,2.939,3.044,3.136,2.954,2.522,2.096,1.734,1.417,1.151,0.94,0.741,0.546,0.322,0,0,0,0,0
96,         Brunei,1962,Male,8.553,7.421,4.62,3.224,3.271,3.366,3.225,2.831,2.328,1.934,1.551,1.254,0.98,0.716,0.452,0.293,0,0,0,0,0
96,         Brunei,1965,Both,18.678,16.015,12.72,7.102,6.692,6.9,6.9,6.101,5.1,4.201,3.401,2.699,2.099,1.6,1.1,0.702,0,0,0,0,0
96,         Brunei,1965,Female,9.12,7.886,6.183,3.399,3.197,3.301,3.299,2.899,2.399,1.999,1.6,1.299,1,0.801,0.601,0.403,0,0,0,0,0
96,         Brunei,1965,Male,9.559,8.131,6.536,3.702,3.496,3.601,3.599,3.2,2.7,2.2,1.799,1.4,1.101,0.801,0.5,0.301,0,0,0,0,0
96,         Brunei,1968,Both,19.801,17.606,14.984,10.899,7.39,7.832,7.729,7.156,6.033,4.898,3.928,3.067,2.384,1.785,1.203,0.742,0,0,0,0,0
